Disaster Number,Household Program Declared,Individual Assistance Program Declared,Public Assistance Program Declared,Hazard Mitigation Program Declared,State,Declaration Date,Fiscal Year Declared,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Declared County Area,Place Code,CountyName
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Kent (County),99029.0,Kent  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Dorchester (County),99019.0,Dorchester  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,St. Mary's (County),99037.0,St. Mary's  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Calvert (County),99009.0,Calvert  County
1082,0,0,1,0,DE,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-06,Kent (County),99001.0,Kent  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Orange (County),99071.0,Orange  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Howard (County),99027.0,Howard  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Queens (County),99081.0,Queens  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Rockland (County),99087.0,Rockland  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Washington (County),99043.0,Washington  County
1082,0,0,1,0,DE,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-06,Sussex (County),99005.0,Sussex  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Garrett (County),99023.0,Garrett  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Prince George's (County),99033.0,Prince George's  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Dutchess (County),99027.0,Dutchess  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Baltimore (County),99005.0,Baltimore  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Wicomico (County),99045.0,Wicomico  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Berkeley (County),99003.0,Berkeley  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Ulster (County),99111.0,Ulster  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Braxton (County),99007.0,Braxton  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Nassau (County),99059.0,Nassau  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Rensselaer (County),99083.0,Rensselaer  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Columbia (County),99021.0,Columbia  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Somerset (County),99039.0,Somerset  County
